clean_text,labels
hindu to kuch hai par tum to pori duniya mai gandgi macha rhe ho or bat rhi bhagwe ki to tumhe aba ke abe bhagwa hi the talvar ke dar se salvar khol di unhone isme tumhari koi galti nhi hai,1
na g jha hindu majority wha muslims chara kbhi ana shiv vihar hmne kya kya dekha,0
"great sir ji apne is jatiwadi mansikta wale teacher ki dhow ke rakh di aisi soch walo ke sath aisa ho hona chahiye , tabhi hamare desh me kuch sudhar ho sake jatipanti ko leker ,",0
mam ye jati prtha to abhi bhi chalte a rahi hai ham bhi jis gav se hai iha bhi ese hi hota hai,0
yeh pagal kabhi bhi nahi samjhege ye sab yeh bat nahi samjhate ki ham sab hindu hai,0
"punjab govt se msp par bonus lelo kon mna kr rha h center ke mathe pr hi boj bna h , local govt ko godi m bitha k rakha h",0
kuch log jativad karte hai sab nahi aur un logo ko sudharna chahiye sasan ke dwara aur ab main is bat par aur kya hi faltu bolu toh samjhega nahi jab dalit mahilao ka rape hua muslim ke dwara tab hinduo ne awaz uthai bhim army ya raven ne nahi chal tujhe jo samjhna hai samjh mai bhi janta hu bharat kaisa tha aur kaisa hai,1
sab kuch loded hai kasam mhadev ki ager 15 min kbi aya to ye 15 min ithas yad rkhega waiting for 15,0
inko pata hi nahi mude kya hinse jyada facts to mujhe pata hkya milta h aur kya govt deti h danga fasad karne aye hue h sale,0
samje to achi bat hai bahen me samjha raha hu kafi logo or friends ko ki pakhand vad se dor raho isme apka kalyan nahi hai,0
bharat patriot andheri aur malad main gogle ofice hai wahan se tera post adres aur tera number adres mil jayga 40 to 50 lagega lakin tu to hum mumbai musalman ke hath main ajayega phir tare ko indian musalman ki aikta pata chalegi post karte rehna tu jald mare hath main ayega,0
desh me agar congres nahi aya toh ye khud hi pagal hokar mar jayenge bjp lawo desh bachao or bangal v bachao,0
guruo or unk beto ko mughlo ne jan se mara bcz wo islam me convert nhi huyejo bole sonihal satshre akal wahe guru ji ka khalsa wahe guru ki fateh,1
"tumlog sab gadar ho , kya ukhad salts tumlog milke batao na , desh ki biswa me kounsa star pe pahunchadiye ho jara batana",0
modi ne desh me ek kam jarur kia h pahle anpardh ko musalman ke nampe bhakt banaya bhakt se gobar bhakt banaya or gobar bhakt se chutya,0
very god sahi bola agar ye bjp rs aur bajrang dal pe vain nahi lagaya to aur afrajul ke hatyare ko fasi nahi diya gaya to ane wala samay nahi but hoga,0
read bok on delhi riots 2020 an eye opening bok by monika arora are these riots were preplaned,0
"bhai crore bangladeshi hain , jo nrc mai hindu nikle aur northeast mai baithe hue hain rohingya kafi kam hai ek bar bil pas ho gya to aur aenge",0
galat faimi me akar log musalmano ko mitane ki bate karate hain ak bat bata rahe hain ki mudai lakh bura chahe to kya hota hai wahi hota hai jo manjore khoda hota hai,1
"sab hindu ek hai , but keise ek hai isliye ye log hindu rashtra k mang karte ro ro k",0
hum sab tumhe hindu mante or wo tumhe qafir mante hain agar bat abhi bhi samjh me na aye to jogindarnath mandal ko padho ankho se parda hat jayega waise tum ek fake ac lagte ho,0
"apko 50 se jyada dislikes mile hainjo likes ke kuch ki percent hain bas yahi hai jinko apni kamiz ki safedi dusro ki jyada safed kamiz pasand nahi hain ,",0
aukat me reh arakshan ki bhekh par palnewale bohot aye tere jaise hinduo ko mitane wale aur dum dabake bhag gye tum logo ki soch ghatiya hai,1
bhut video h ke library m kaise vo bache kye ker rahe the or unke hath m pathar the or apne ratanlal ji or dilver nagi ka bhe koi jiker nahi kye sath he sath ankit sharma ji ko bhe dangai bna diye apne sabas kamal ke reporting ke h apne,0
quran or sariya kanon hi insaf kar sakta hai is duniya ka sabse mahan or prachin dharma sirf islam hai hidu to kide hai islam,1
wah re india today ki dalali patrakarita leftist ki soft power ka khob istemal ho raha hai,0
jab tak inter cast mariage ko society acept nahi karegi tab tak log kaise acept karenge ki reservation end ho,0
"lal gamcha wala vakil saf jhuth bol reha hai , lagta hai aisa hi jhuth ka sika high court me bhi chala hoga",0
vijay kumar bhai hum hindu h ye moterchod mule aka arabic slave hme batne pr tule h,1
are nez wali randi rs harami kute musalmano ke khilaf bolte hain to bolti band musalam aik bar bolde to tu darne lagi,1
q nehi islam me agar caste nehi hai to keya reservation kaisa decide karo caste sirf hindu me hai ya budhist islam me v hai,0
sawal hindu muslim na karke sidhi bat kare ke bridge pe kabr ajeb sa lagta h,0
or dusri video bangladesh kifack new bana k hindu muslim ko todne k koshish na karewe are one we are indian,0
hindu muslims dono ko budhism darm apna lena chiye muslims mein unchi jati nechi jati hai ye baba sahab ne bola hai aur ha tume yaken nhi to khud youtube pe hazaro videos padhi hai dekh sakte ho ki islam mein kitni jatiyan hai islam mein b same unch nech jatiyan hai,0
